,Comment,AuthorName,AuthorChannelId,PublishedDate,LikeCount,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"This <a href=""http://www.youtube.com/results?search_query=%23tech"">#tech</a>🤖 will solve everything for long distance <a href=""http://www.youtube.com/results?search_query=%23couples"">#couples</a>😍",Sex Shiksha,UChqxgpNXTcYA9SnHZ49Ag4Q,3/6/2023,63,0,0,0,0,0,0
1,Where can I Buy link please 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Rita Anish,UCplg9nI_mYqxigX-uwei3dg,4/6/2023,0,0,0,0,0,0,0
2,But i fall in love with you the you deliver the words baby,Vijay Prakash,UCurRVe8keAXBvHTRmLcTcEQ,4/4/2023,0,0,0,1,0,0,0
3,Apko kiss nhi chahiye kya,Md Afridi,UC4E3gtcxSZbqC4wRlmgw8yA,4/1/2023,0,1,0,1,0,0,0
4,I just wanna kiss you,Tiwa Jean,UCOzZcdWAHGA8Qg0XIizxnug,3/31/2023,0,0,0,1,0,0,0
5,@vishal 🤣🤣🤣🤣🤣🤣🤣🤣🤣,chrish torrent,UC0DHXoKj_6uTUrZb7-ncz-g,3/31/2023,0,0,0,0,0,0,0
6,Mujhe aap ko kiss karna hai,Fish knowledge,UCdsWNkU4LBbO6HYhcMAB4MA,4/12/2023,0,1,0,1,0,0,0
7,Aap ko kiss chahiye kya,Fish knowledge,UCdsWNkU4LBbO6HYhcMAB4MA,4/12/2023,0,1,0,1,0,0,0
8,Aisa Cheez Hamara Assam Me Mat Ana 😂,Hasibul Islam,UCWCAShSSKHg4kkoEF68HOeQ,4/12/2023,1,1,0,0,1,0,1
9,Ap ko bhe kr skta hu mai kiss,Naranjan Kumar,UC8UYL8OOgZdf5npHjIP57Zw,4/12/2023,0,0,1,1,0,0,0
10,Chinese maal hai😒😒😂😂😂😂,Prithvi,UClxn1LHawR0VKtxTJU6kvHw,4/11/2023,0,0,0,0,0,1,1
11,Very cute 😍,Haseeb Imran,UCDLb7CTS16NrWOCjvNgHcZg,4/11/2023,0,0,0,0,0,0,0
12,Madam aap bahut cute ho,Babu Shaikh,UCdW8RO9BCWWWP6HYEKnhzlQ,4/11/2023,0,0,0,0,0,0,0
13,I love you,Call of Duty Mobile,UCy2YI8lDI80Nl9vO0pHn5ng,4/10/2023,0,0,0,0,0,0,0
14,mujhe toh apko karna hai,Power Facts Knowledge,UCrIzjMuVhnk1S80Qp6yGVMQ,4/10/2023,0,0,1,1,0,0,0
15,Koi subscribe mat krns begairat orat ko ... Ghar ss nikalne ka nateeja h,sameer khan (sam),UC6qN9nr-0G1VphSs-yAb64g,4/9/2023,0,0,1,1,0,1,1
16,"<a href=""https://youtu.be/WcY48SMVs3w"">https://youtu.be/WcY48SMVs3w</a> full video link",Mirch Masala,UCvRSif-6nKu4e7z7blBT8GQ,4/9/2023,0,0,0,0,0,0,0
17,Tum bohot sexy❤,XRABON,UCiwY3QqLtHfxz3u2wFcMPzQ,4/9/2023,0,1,0,1,0,0,0
18,Apko kissi karne k liye kya karna padega janam❤,Nitendra Kumar,UCbtRCM8saZS-zkH7gxbHbqw,4/9/2023,0,0,1,1,0,0,0
19,Bolu kya hasi nhi ruk rhi😂😂,Abhay Prajapati,UCK4vRQRbzaohxfRaM_XEHng,4/9/2023,0,0,0,0,0,0,0
20,Iam from assm😋😜😹😹😹😹,hayen mushahary,UCc5Ll97AS6PxAIZHtcxkEnQ,4/8/2023,0,0,0,0,0,0,0
21,"Online sex aap na bna de ye saab online  ,🤣🤣🤣",sb_editz,UCAPsfFQ_mpvm6bXyv1OFfmQ,4/8/2023,0,0,1,0,0,0,0
22,Kardunga kitini bar mang rahi ho,Srock Devil,UCAjJ2jtRGAxyzgP9vnrUryQ,4/7/2023,0,1,1,1,0,0,0
23,1 land 1 chut 😂😂😂,KD youtuber,UCHjs1i2x92qf11An2n53xWA,4/7/2023,1,1,0,1,0,0,0
24,Ap moje kiss 💋 karoge,Mamata Khatun,UCWW--0YrBKFe1gt_LgRmesw,4/7/2023,0,0,0,0,0,0,0
25,"Even I know what do you want, definitely not a subscribe.",artemisticnaveen,UCC4lJge4fJEccHcVBm57EpQ,4/6/2023,0,0,0,0,0,0,0
26,Aur jiska Partner he nahi rehegi tho 😅 .,Samad,UCZlVP23rdhLj0NW6QqZh5og,4/6/2023,0,0,0,0,0,0,0
27,Mai to itna single hu k ab mujhe lagata h k japani order krni padegi 😢😢 ye dukh kahe Khatam nhi hota be 😢😢,JD,UCHhrG3tqFDS31ugXSATGldA,4/6/2023,0,0,0,0,0,0,0
28,😂😂😂,Ujjwal Tamang,UC-g8QGUgw_X9DRp1Hvb2E8Q,4/6/2023,0,0,0,0,0,0,0
29,Kuch saal bad dur se hi dalne Wale machine aayegaa 😅,L4Lucifer,UCDkp0RdPTuq-zFqjila40GA,4/5/2023,0,1,0,1,0,0,0
30,or muje ap chiye ho 😍,stYLoo nova,UCAvDwTxsO4LdUu8PHOHUHuQ,4/5/2023,0,0,0,1,0,0,0
31,Ye to bacche bhi mobile se hi peda kara sakte hai😂😂😂😂,Sahir khan,UCjYgee4Tx38zk163Vvk-WSA,4/5/2023,0,0,0,0,0,0,0
32,😂😂😂😂,Ravi Pardhan,UCXmfQhYFF9AWcNvrmf9Fu5g,4/5/2023,0,0,0,0,0,0,0
33,Muje to chuu chiye,sahu gaurang,UCNmGT28sxh1uwvyLUJto13g,4/4/2023,0,0,1,1,0,0,0
34,Kya is divice ke andar apna saman dalkar direct apne partner ko chusaya ja sakta hai 😂,Soumya Ranjan Biswal,UCspINHitYx7IXvOYG0bPN8A,4/4/2023,0,1,1,0,0,0,0
35,Mera. Laoraa. 😂😂😂,Raja Danuwar,UCBZ-xqSVK-vaYdo7UvtJ_GQ,4/3/2023,0,1,1,0,1,0,0
36,Muje kiss chaiye subscribe nhi karunga 🤣,ELIXIR,UCEqeGBaXVUl5NSCkTtbdQ6A,4/3/2023,0,0,1,1,0,0,0
37,Tumre sath ho ju,Raman 5k,UCPgGqcUPmrItBqopheoquJw,4/3/2023,0,0,0,0,0,0,0
38,Le bhai invention bhi china me hua hai matlab samchh rhe ho na vinod 😀😀😀🙏,MEDHA UNIVERSE 🌍,UCgLdMfC6JgcWTfckExabcDw,4/3/2023,0,0,0,0,0,0,0
39,Subscribe theek hai par tujhe Kiss aur sex nahin chahie😅😅😅,I'm bad boy,UCQ441IZirKe1jZr1IVaepRw,4/2/2023,0,0,1,1,1,0,0
40,You are so cute<br>🥰,MANOHAR LAL,UC_Kzr8vPnotwQi3JGyPd2tA,4/2/2023,0,0,0,0,0,0,0
41,Aapko long l**d chayie,թαɾѵҽz kհαղ,UC9_uE1SNvMRAKLELygYxqvw,4/2/2023,0,1,1,1,0,0,0
42,Hum toh earphone par hi dabba k kiss karr lete hain ussi se hi poora system 🍆khada ho jata hai☺️😁,Mani,UCa3oIM1LRCYEOPGLtpL-3eg,4/2/2023,0,1,1,0,0,0,0
