,Comment,AuthorName,AuthorChannelId,PublishedDate,LikeCount
0,"This <a href=""http://www.youtube.com/results?search_query=%23tech"">#tech</a>🤖 will solve everything for long distance <a href=""http://www.youtube.com/results?search_query=%23couples"">#couples</a>😍",Sex Shiksha,UChqxgpNXTcYA9SnHZ49Ag4Q,2023-03-06,75
1,I❤You,Ananga Bikram Singh Bariha,UClqUCuRSUIBASi3wBWFu36g,2023-04-14,0
2,Kon sa aap hai,Nikhil kumar mashi,UCWX6rRjmpXlXkytLzYtZ-8g,2023-04-13,0
3,Where can I Buy link please 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Rita Anish,UCplg9nI_mYqxigX-uwei3dg,2023-04-06,0
4,But i fall in love with you the you deliver the words baby,Vijay Prakash,UCurRVe8keAXBvHTRmLcTcEQ,2023-04-04,0
5,Apko kiss nhi chahiye kya,Md Afridi,UC4E3gtcxSZbqC4wRlmgw8yA,2023-04-01,0
6,love from Assam ❤️❤️,Chanakya gogoi,UCxuCy6ALbmEAfIqhdVaFLzw,2023-05-10,0
7,hahahaha 😅😅😅😅😅😅<br>are you kidding me <br>huh?? guys as anyone can here??😓😓,@AhmadAlikhan,UCBK6i88xvgexMx5lGVyXv7A,2023-05-09,0
8,😂😂omg,HAPPY-FF,UC1l09_AtS1F9Iky3r4E3-gA,2023-05-08,0
9,China will create online s3x soon 😂,Samir Limboo,UCsIrz6_jzgj3pnmbxztudiw,2023-05-08,0
10,ham to tumko chahte hai meri jaan<br>stripchat me id banaa lo please<br>maza aa jayega❤❤❤,Nikhil Soni,UCkaTNtm06DMBbvOu_0KWy_A,2023-05-08,0
11,Can we 👉👈🥺,HEN_RRY,UCNV3d6JDEnCk8NFe_9_LzxA,2023-05-07,0
12,Apka muh आम jaisa dikh reha hai,BHOOT,UCoMTkn2vHFBxxy-zGL6EwBw,2023-05-06,0
13,দিনে কত বার হেনডেল মারা যায়,ভগবান দাস,UCCqbFSx3ZUQFJbh3AEsGG1w,2023-05-06,0
14,I really love you ❤❤❤❤❤❤,Hard Disk YT,UCodV7XE9AdcIIfPD3zNLf4A,2023-05-04,0
15,Xxxxxxxxxx,Akash,UCWn_WETGAV1_HBH0Donl_OQ,2023-05-04,1
16,But ye idea mera tha 💔🥲,Aryan Laskar,UCmgH72L550WA-0vZM7Ae7hw,2023-05-04,0
17,Howard irl,Manraj Singh,UCsQ3izb4RSpfQL_WnEVArzA,2023-05-03,0
18,Guys ye jada ho rha h bhot jada ho rha h aise to duniyaa bigad jayegi 😢😢😢😢,r.p.s.t raj,UC0nAxo3Oa-17uXoMCNbalIg,2023-05-03,0
19,You are so cute....<br>Will you marry me...🥺🌹,simplicity,UCITDuRPDhgXjOTpazxLh-hw,2023-05-03,0
20,May chahti ho tujhe kiss karo,Tanvir Hasan,UCtRZ9NMumzokTBObvHeriDA,2023-05-02,0
21,Dildo chahiye,Hruta_Chandekar_Official,UCJ_8ULENbK5snHjZOcR3D2w,2023-05-02,0
22,To kus or nhi bana skta Kya,Zaheer Uddin,UC9s1i4FGvyjwOGaM9oDsSIg,2023-05-01,0
23,I wanna kiss you 😂,(̷a̷n̷i̷r̷u̷d̷h̷)̷,UCYJPvp8VtTLVLCs1LrvRdsg,2023-05-01,0
24,Hello,asha vlogs,UCWPbq5O0alXhE4niPMVcbrQ,2023-04-30,0
25,Isse acha me 3000₹ me Russian na le aau 💀,Master Yadu,UCD_GydsuiRKY-BV274dEhsg,2023-04-30,1
26,Mujhe toh bss tujhe kiss krni ha 😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,A Kay,UC3K1TKUfAvgEPlxCgE7Gv6Q,2023-04-30,0
27,Mujhe to AP ko kiss karna hai😂😂😂👉👄👄👄🖕🏻,Pro Gamer,UCNR9qKTpLnb2trenIyke4aw,2023-04-30,0
28,Mujhe laga ki aapko vah chahiye 😂😂😂<br><br><br><br>Sorry didi😭,RITIK🐯,UCq6Kl4ms-0p_LoVrTxhhBuw,2023-04-30,0
29,ma to kuch. or he samaj. raha tha 😂😂,SHAIKH NOMAN,UCKk2GjZ1S_nMWtdJtqLqZYA,2023-04-29,0
30,AAP bahut cute ho ❤❤❤,Rohit Singh,UCTkV6KjRyPj0uJumPwSV6Tg,2023-04-28,0
31,Mujhe toh ap ko karna hy 😛😛😛😛,RNM baby viral video,UCv01be9a0rod_l63KeMIZwA,2023-04-28,0
32,Tumharey nek me Jo til hey haye 💘,Bibek Chaudhary,UC05Q2NOQPqBnEPvAH4a-vKA,2023-04-27,0
33,Bhai kiss karna ka hi h wo device <br>Tu jo socha raha h wo ni karna ka h,Sᴍᴏᴋʏ Gᴀᴍɪɴɢ,UCN4XaKIBd-lZTZBnSX25RFg,2023-04-27,1
34,No you need land,Mohinder Sethi,UC_UzRENv5g24ar3gRQZpc5A,2023-04-26,0
35,Bhat dukh huwa mja . Kas. Meri vi gf hoti 😅 ya kharid na laiya,assame gaming,UCeKmKeuMo8pEqayIoTbKO_w,2023-04-26,0
36,kiya is product say apko kiss kar sakta ho?,Crypto Currency,UCGrrB0Tiryi6eVwWDyqV3xA,2023-04-25,0
37,Tumhain Mera Lora chiay😅😂,TALHA AKBAR,UCqW22Gz1Rpd_EDDjGRANe5Q,2023-04-25,0
38,3000 ke andar mein gujrat mein kya nahi kar sakta sala 3000 extra kar k Russian kharid leta😂,🔱🕉️सनातनी_boy,UCUUOhFGit_pkrS2D-92eAzQ,2023-04-25,0
39,is ko aap use koro,Nath (yogi ) Community,UC2H784QyhdDI_GIQoee2jgw,2023-04-24,1
40,Bhai tu to single hai na fir kyu comment phd rha hai,Nik.videos,UC-wpnhApOZ-aumggpi850sQ,2023-04-22,0
41,sex is fun,SpFg Facts,UCznDnIFWyRITXPJpAf-7ZmQ,2023-04-21,0
42,Legends be like : 3000 Aur milake Russian hi bula lete hai 😂😂,Rohan Singh,UCQY5wHhachLmpp97govvORw,2023-04-21,45
43,6000 me milti hai? Kya? 😮,hunter,UCo3sYgu0WtPVD1ROQBsRuhQ,2023-05-06,0
44,Mai tumko karunga,Ex gaming,UCtdGphc3oA6MB2N077A9Mpw,2023-04-21,0
45,Aap dedo na kiss 😘 love u mam&#39;,Suraj Kumar,UCb-TqZl_b96C5YKkvZ0ln3A,2023-04-20,0
46,Merko malum terko kya chanhiye🖕🖕🖕🖕🖕🖕🖕,mc  stan,UCDNMeX6RnxjpD0h-bmZ-f3g,2023-04-20,0
47,Bhai 3000 aur laga leta 😂😂😂,Vijay Senger,UCs_7Tel7NafWTWF4InsPq0g,2023-04-19,0
48,Thank you for pic assam ❤,ERROR GAMING,UCGZEbHqpkG4dBuKONFYz-3A,2023-04-19,1
49,3 hazar or milakar 1 Russian le aaunga😂😂,Ankit Raj,UCghqjfTkhfhXo5wiBoUWtug,2023-04-19,0
50,Link kaha hai👀,fred,UCo_3wMIzSVkcYIEItvbMxlw,2023-04-18,0
51,your nose pin very sexy,Suresh Kumar,UCYtRcDHwlPVEcyOaorlXU0g,2023-04-18,0
52,Tumhe kiss kr dunga 😅😅,Ranjit Bouri,UCHqdRViQUe8v5m8AjayoAMw,2023-04-18,0
53,Kar diya subscribe... Content and area of interest achha hai aap ke channel ka,Md Abu Bakr,UCBW4RDrMtvxt2Q-MhjZbKhg,2023-04-18,0
54,Abe gyani ye device Japan ka invention hai pehle thoda mehnat Kar Liya Kar padne ki mehnat,logical vibe,UCm6lcx8zxhPKmZudydze9CQ,2023-04-17,0
55,Before marriage love is haram in islam. ❌May allah guide you right path ✨❤️,𝙍𝙪𝙨𝙝𝐚⁣♛࿐,UC_la8saI7gHEnDn9PFtjE6g,2023-04-17,1
56,Isse accha toh bc 3000 me call girl k paas chale jaayege log 😂😂😂😂,Danish Shaikh,UC9o1TcdIdzV8pCpXjj3Krkg,2023-04-17,0
57,Aap kitni khubsurat ho kaha se ho aap,Ajju Ade,UCymV_Xaq5XajbVvOLVkutkg,2023-04-17,0
58,Legends know how to use this product 😂😂b/j,Naveen Rana,UCpcqR7w7ZDzZVJ71_roy3RA,2023-04-16,0
59,I LOVE YOU 👌👈🤞💋💋😜😝🤪👅🍌🍌🍌🍌🍌🍑🍑🍑🍑,Rocky,UCgbLuVhsHmYgzWgxODM1tjg,2023-04-16,0
60,Chali ja sexxi,@XY gaming platform (Op),UCUtEmV0dD162ppzmo8DVV8w,2023-04-16,0
61,main tume kiss krna cahta hu,Mz Status Creator,UC57Vp7IM9BpmdyiB85Fafkg,2023-04-16,0
62,😂😂😂😂,Suman Nishad,UCglF78O11Q5-oVu6jT9Mlxw,2023-04-16,0
